name	version	source	checksum
log	0.4.32	registry+https://github.com/rust-lang/crates.io-index	953f07c43838f8e6f9758cab68bf5bed85465e7587ebe0b823f1bcd81978ad3a
matchers	0.2.0	registry+https://github.com/rust-lang/crates.io-index	d1525a2a28c7f4fa0fc98bb91ae755d1e2d1505079e05539e35bc876b5d65ae9
matchit	0.8.4	registry+https://github.com/rust-lang/crates.io-index	47e1ffaa40ddd1f3ed91f717a33c8c0ee23fff369e3aa8772b9605cc1d22f4c3
memchr	2.8.1	registry+https://github.com/rust-lang/crates.io-index	6b947ae49db0d222b1dbc6b113ce7248a3fc3a6ca21b696717bfc000ba4484d8
memoffset	0.9.1	registry+https://github.com/rust-lang/crates.io-index	488016bfae457b036d996092f6cb448677611ce4449e970ceaf42695203f218a
mime	0.3.17	registry+https://github.com/rust-lang/crates.io-index	6877bb514081ee2a7ff5ef9de3281f14a4dd4bceac4c09388074a6b5df8a139a
mio	1.2.1	registry+https://github.com/rust-lang/crates.io-index	02bd0af71c67b473010cbbc60715ee815645a4dc942899111f494b4b737d6fda
ntapi	0.4.3	registry+https://github.com/rust-lang/crates.io-index	c3b335231dfd352ffb0f8017f3b6027a4917f7df785ea2143d8af2adc66980ae
nu-ansi-term	0.50.3	registry+https://github.com/rust-lang/crates.io-index	7957b9740744892f114936ab4a57b3f487491bbeafaf8083688b16841a4240e5
once_cell	1.21.4	registry+https://github.com/rust-lang/crates.io-index	9f7c3e4beb33f85d45ae3e3a1792185706c8e16d043238c593331cc7cd313b50
ordered-stream	0.2.0	registry+https://github.com/rust-lang/crates.io-index	9aa2b01e1d916879f73a53d01d1d6cee68adbb31d6d9177a8cfce093cced1d50
pango	0.20.12	registry+https://github.com/rust-lang/crates.io-index	6576b311f6df659397043a5fa8a021da8f72e34af180b44f7d57348de691ab5c
pango-sys	0.20.10	registry+https://github.com/rust-lang/crates.io-index	186909673fc09be354555c302c0b3dcf753cd9fa08dcb8077fa663c80fb243fa
parking	2.2.1	registry+https://github.com/rust-lang/crates.io-index	f38d5652c16fde515bb1ecef450ab0f6a219d619a7274976324d5e377f7dceba
percent-encoding	2.3.2	registry+https://github.com/rust-lang/crates.io-index	9b4f627cb1b25917193a259e49bdad08f671f8d9708acfd5fe0a8c1455d87220
pin-project-lite	0.2.17	registry+https://github.com/rust-lang/crates.io-index	a89322df9ebe1c1578d689c92318e070967d1042b512afbe49518723f4e6d5cd
pkg-config	0.3.33	registry+https://github.com/rust-lang/crates.io-index	19f132c84eca552bf34cab8ec81f1c1dcc229b811638f9d283dceabe58c5569e
potential_utf	0.1.5	registry+https://github.com/rust-lang/crates.io-index	0103b1cef7ec0cf76490e969665504990193874ea05c85ff9bab8b911d0a0564
ppv-lite86	0.2.21	registry+https://github.com/rust-lang/crates.io-index	85eae3c4ed2f50dcfe72643da4befc30deadb458a9b590d720cde2f2b1e97da9
proc-macro-crate	3.5.0	registry+https://github.com/rust-lang/crates.io-index	e67ba7e9b2b56446f1d419b1d807906278ffa1a658a8a5d8a39dcb1f5a78614f
proc-macro2	1.0.106	registry+https://github.com/rust-lang/crates.io-index	8fd00f0bb2e90d81d1044c2b32617f68fcb9fa3bb7640c23e9c748e53fb30934
pulldown-cmark	0.12.2	registry+https://github.com/rust-lang/crates.io-index	f86ba2052aebccc42cbbb3ed234b8b13ce76f75c3551a303cb2bcffcff12bb14
quote	1.0.45	registry+https://github.com/rust-lang/crates.io-index	41f2619966050689382d2b44f664f4bc593e129785a36d6ee376ddf37259b924
