name	version_release	arch	license
libXdamage	1.1.6-7.fc44	x86_64	HPND-sell-variant
libXdmcp	1.1.5-5.fc44	x86_64	MIT-open-group
libXext	1.3.6-5.fc44	x86_64	MIT-open-group AND X11 AND HPND AND HPND-sell-variant AND SMLNJ AND MIT AND ISC AND HPND-doc AND HPND-doc-sell
libXfixes	6.0.1-7.fc44	x86_64	MIT AND HPND-sell-variant
libXfont2	2.0.7-4.fc44	x86_64	BSD-2-Clause AND BSD-4-Clause-UC AND HPND-sell-variant AND MIT-open-group AND SMLNJ AND X11
libXft	2.3.8-10.fc44	x86_64	HPND-sell-variant
libXi	1.8.3-1.fc44	x86_64	MIT-open-group AND SMLNJ AND MIT
libXinerama	1.1.5-10.fc44	x86_64	MIT AND MIT-open-group AND X11
libXmu	1.2.1-5.fc44	x86_64	MIT-open-group AND SMLNJ AND X11 AND ISC
libXrandr	1.5.4-7.fc44	x86_64	HPND-sell-variant
libXrender	0.9.12-4.fc44	x86_64	HPND-sell-variant
libXres	1.2.2-7.fc44	x86_64	X11
libXt	1.3.1-4.fc44	x86_64	MIT AND HPND-sell-variant AND SMLNJ AND MIT-open-group AND X11
libXtst	1.2.5-4.fc44	x86_64	MIT-open-group AND HPND-sell-variant AND X11 AND HPND-doc AND HPND-doc-sell
libXv	1.0.13-4.fc44	x86_64	SMLNJ AND HPND-sell-variant
libXxf86vm	1.1.6-4.fc44	x86_64	X11-distribute-modifications-variant
libacl	2.3.2-6.fc44	x86_64	LGPL-2.1-or-later
libadwaita	1.9.2-1.fc44	x86_64	LGPL-2.1-or-later AND MIT
libaio	0.3.111-23.fc44	x86_64	LGPL-2.0-or-later
libao	1.2.0-31.fc44	x86_64	GPL-2.0-or-later
libaom	3.13.3-1.fc44	x86_64	BSD-3-Clause
libarchive	3.8.7-1.fc44	x86_64	BSD-2-Clause AND FSFULLR AND GPL-2.0-or-later WITH Libtool-exception AND BSD-3-Clause AND FSFUL
libaribcaption	1.1.1-4.fc44	x86_64	MIT
libass	0.17.4-2.fc44	x86_64	ISC
libassuan	2.5.7-5.fc44	x86_64	GPL-3.0-or-later AND LGPL-2.1-or-later AND LGPL-3.0-or-later
libasyncns	0.8-34.fc44	x86_64	LGPL-2.1-or-later
libatasmart	0.19-32.fc44	x86_64	LGPL-2.1-or-later
libatomic	16.1.1-2.fc44	x86_64	GPL-3.0-or-later AND LGPL-3.0-or-later AND (GPL-3.0-or-later WITH GCC-exception-3.1) AND (GPL-3.0-or-later WITH Texinfo-exception) AND (LGPL-2.1-or-later WITH GCC-exception-2.0) AND (GPL-2.0-or-later WITH GCC-exception-2.0) AND (GPL-2.0-or-later WITH GNU-compiler-exception) AND BSL-1.0 AND GFDL-1.3-or-later AND Linux-man-pages-copyleft-2-para AND SunPro AND BSD-1-Clause AND BSD-2-Clause AND BSD-2-Clause-Views AND BSD-3-Clause AND BSD-4-Clause AND BSD-Source-Code AND Zlib AND MIT AND Apache-2.0 AND (Apache-2.0 WITH LLVM-Exception) AND ZPL-2.1 AND ISC AND LicenseRef-Fedora-Public-Domain AND HP-1986 AND curl AND Martin-Birgmeier AND HPND-Markus-Kuhn AND dtoa AND SMLNJ AND AMD-newlib AND OAR AND HPND-merchantability-variant AND HPND-Intel
libattr	2.5.2-8.fc44	x86_64	LGPL-2.1-or-later
libavc1394	0.5.4-27.fc44	x86_64	GPL-2.0-or-later AND LGPL-2.0-or-later
